[19:21:52] Epoch 1/200, Iter 62/228,Total Loss 0.510979, Loss_seg 1.627894,fusecross:0.634259, fusedice:0.993635,spec_modal_loss:1.214489221572876 , circleloss[loss flair->t1:0.498150, loss t1->t1c:0.505660, loss t1c->t2:0.567206, loss t2->flair:0.510979, ], use_modality:[1, 0, 2, 3]
[19:21:53] Epoch 1/200, Iter 63/228,Total Loss 0.505171, Loss_seg 1.509082,fusecross:0.601208, fusedice:0.907874,spec_modal_loss:1.3077987432479858 , circleloss[loss flair->t1:0.485347, loss t1->t1c:0.505195, loss t1c->t2:0.560396, loss t2->flair:0.505171, ], use_modality:[2, 0, 1, 3]
[19:21:55] Epoch 1/200, Iter 64/228,Total Loss 0.504404, Loss_seg 1.564338,fusecross:0.604084, fusedice:0.960254,spec_modal_loss:0.7838406562805176 , circleloss[loss flair->t1:0.495526, loss t1->t1c:0.506545, loss t1c->t2:0.557230, loss t2->flair:0.504404, ], use_modality:[1, 3, 0, 2]
[19:21:55] Epoch 1/200, Iter 65/228,Total Loss 0.497850, Loss_seg 1.617602,fusecross:0.626441, fusedice:0.991160,spec_modal_loss:1.1908094882965088 , circleloss[loss flair->t1:0.496339, loss t1->t1c:0.500694, loss t1c->t2:0.563895, loss t2->flair:0.497850, ], use_modality:[1, 2, 3, 0]
[19:21:55] Epoch 1/200, Iter 66/228,Total Loss 0.453044, Loss_seg 1.585672,fusecross:0.619069, fusedice:0.966603,spec_modal_loss:1.6528583765029907 , circleloss[loss flair->t1:0.439820, loss t1->t1c:0.443226, loss t1c->t2:0.486358, loss t2->flair:0.453044, ], use_modality:[2, 3, 1, 0]
[19:21:55] Epoch 1/200, Iter 67/228,Total Loss 0.496813, Loss_seg 1.571188,fusecross:0.605165, fusedice:0.966023,spec_modal_loss:1.2215713262557983 , circleloss[loss flair->t1:0.485353, loss t1->t1c:0.497735, loss t1c->t2:0.560549, loss t2->flair:0.496813, ], use_modality:[0, 2, 1, 3]
[19:21:57] Epoch 1/200, Iter 68/228,Total Loss 0.502673, Loss_seg 1.544659,fusecross:0.601889, fusedice:0.942770,spec_modal_loss:0.818533718585968 , circleloss[loss flair->t1:0.481948, loss t1->t1c:0.505698, loss t1c->t2:0.557788, loss t2->flair:0.502673, ], use_modality:[0, 2, 3, 1]
[19:21:57] Epoch 1/200, Iter 69/228,Total Loss 0.497297, Loss_seg 1.605543,fusecross:0.616688, fusedice:0.988855,spec_modal_loss:1.4719269275665283 , circleloss[loss flair->t1:0.482946, loss t1->t1c:0.503909, loss t1c->t2:0.552998, loss t2->flair:0.497297, ], use_modality:[1, 2, 3, 0]
[19:21:57] Epoch 1/200, Iter 70/228,Total Loss 0.454703, Loss_seg 1.509022,fusecross:0.584704, fusedice:0.924318,spec_modal_loss:1.4061517715454102 , circleloss[loss flair->t1:0.432583, loss t1->t1c:0.444638, loss t1c->t2:0.482207, loss t2->flair:0.454703, ], use_modality:[1, 2, 0, 3]
[19:21:58] Epoch 1/200, Iter 71/228,Total Loss 0.493336, Loss_seg 1.582746,fusecross:0.605016, fusedice:0.977730,spec_modal_loss:1.4600496292114258 , circleloss[loss flair->t1:0.479675, loss t1->t1c:0.495437, loss t1c->t2:0.542475, loss t2->flair:0.493336, ], use_modality:[2, 1, 3, 0]
